DATE,M,S,BL,D2M,LAIH,LAII,SP,T2M,PREC,U10,V10,AOD,PM25lag2,PM25lag,PM25
2013-09-02,9,4,3193.621627,272.5201841,2.453371141,0.502074981,83530.57498,305.1338274,0,1.132407844,2.469729848,0.512000024,79,76,79
2013-09-03,9,4,1475.683193,276.3008086,2.453371141,0.502074981,83493.63842,303.9659552,0,-0.585453017,2.06007,0.317000015,68,79,76
2013-09-04,9,4,1458.761817,273.9319238,2.453371141,0.502074981,83239.74122,304.3029204,0,-1.840661926,2.01927801,0.435000021,86,68,79
2013-09-05,9,4,1878.529201,272.1930336,2.453371141,0.502074981,82947.90917,304.8026153,0,-1.007703724,2.078822716,0.545000026,162,86,68
2013-09-08,9,4,1578.300444,270.2885974,2.453371141,0.501952857,83350.3845,304.4796217,0,-1.11620992,2.722021542,0.239000011,88,162,86
2013-09-09,9,4,1380.102553,273.4241179,2.453371141,0.501708608,83325.26098,304.9143891,0,-0.946755563,1.902895174,0.323000015,99,88,162
2013-09-10,9,4,1818.550465,263.2601175,2.453371141,0.501587315,83297.64176,305.6433846,0,0.502610178,1.565152959,0.160000008,97,99,88
2013-09-11,9,4,1631.158799,278.3103534,2.453371141,0.501343066,83301.13576,301.2447553,0,-0.543666588,2.305595251,0.346000016,103,97,99
2013-09-12,9,4,1631.493876,277.4826232,2.453371141,0.501098817,83439.56464,301.3063953,0,-0.686340692,2.519221552,0.333000016,98,103,97
2013-09-13,9,4,1699.765761,276.5208797,2.453371141,0.500976693,83517.09813,302.5170046,0,1.637077087,1.600145141,0.249000012,91,98,103
2013-09-14,9,4,1813.691852,277.0871522,2.453371141,0.500732444,83490.80995,302.0551157,0,1.886179609,1.986412425,0.371000018,89,91,98
2013-09-15,9,4,1299.181521,278.5238552,2.453252258,0.50061032,83258.70864,301.3384481,0,0.124916271,2.451943767,0.176000008,89,89,91
2013-09-16,9,4,1808.665701,272.5267533,2.452875795,0.500366071,83059.8835,302.4372836,0,1.410137533,1.952193551,0.266000013,99,89,89
2013-09-17,9,4,2244.014152,271.1071305,2.452638028,0.500243947,82983.51468,302.6435721,0,0.801579378,0.8794222,0.112000005,72,99,89
2013-09-18,9,4,1764.100495,261.4739285,2.452261565,0.499999698,82989.00525,301.3844726,0,2.100652495,-0.408328741,0.142000007,72,72,99
2013-09-19,9,4,1632.08026,265.5587109,2.452023798,0.49975545,83179.17858,301.3105046,0,2.261103146,-0.862067137,0.105000005,79,72,72
2013-09-20,9,4,2220.307473,269.2900658,2.451667149,0.499512032,83220.94018,301.6943163,0,1.333490603,0.68551525,0.181000009,88,79,72
2013-09-21,9,4,3003.884425,270.2380139,2.451409569,0.499389907,83126.26947,301.8364992,0,1.380356045,0.967579298,0.327000016,92,88,79
2013-09-22,9,4,2028.978656,270.789177,2.451052919,0.499145659,82899.49234,302.188258,0,-0.869646904,1.852823489,0.178000008,80,92,88
